boxoffice,year,month,day,reday,compete,ip,series,cost,monthsearch,weeksearch,import,volume,director,actor,type
0.0,0.0,1.0,3.0,0.0,0.375,0.0,0.0,0.0,0.00195891392582,0.00765033295714,0.0,0.0968630316982,0.5,1.0,0.718232044199
1.0,0.0,1.0,7.0,0.0,0.75,1.0,0.0,0.268292682927,0.00172469932391,0.0100817768744,1.0,0.161863642846,0.5,0.869565217391,1.0
5.0,0.0,1.0,10.0,0.0,0.125,0.0,1.0,0.185365853659,0.00226934121567,0.0203496788603,1.0,0.224115364244,0.5,0.652173913043,0.906077348066
0.0,0.0,1.0,11.0,0.0,0.75,0.0,0.0,0.0,0.0,0.00183613899705,0.0,0.104923173688,0.75,0.608695652174,0.667001506781
0.0,0.0,1.0,16.0,0.0,0.75,1.0,1.0,0.0,0.0,0.00475800781135,0.0,0.101124511082,0.25,0.373913043478,0.436464088398
3.0,0.0,1.0,17.0,0.0,0.625,1.0,0.0,0.00696864111498,0.000354110171946,0.0493792875249,0.0,0.169768451556,0.25,0.0,0.380110497238
2.0,0.0,1.0,17.0,0.0,0.625,0.0,0.0,0.146341463415,8.64363411838e-05,0.00909354116319,1.0,0.152989274364,0.75,0.142857142857,0.436464088398
9.0,0.0,1.0,31.0,0.7,0.5,1.0,0.0,0.156794425087,0.00206951526562,0.0424380026117,0.0,0.403581323338,0.75,0.217391304348,0.48095376563
8.0,0.0,1.0,31.0,0.7,0.5,1.0,0.0,0.0174216027875,0.839926092281,0.232532306002,0.0,0.349514519842,0.5,0.159420289855,0.315706393054
7.0,0.0,1.0,31.0,0.7,0.5,0.0,0.0,0.0,0.0183585831752,0.0177513132161,0.0,0.338518324234,0.75,0.191304347826,0.366022099448
1.0,0.0,1.0,31.0,0.7,0.5,0.0,0.0,0.0,0.00105892263142,0.0120109784272,0.0,0.112866179107,0.25,0.169960474308,0.306417339567
4.0,0.0,2.0,5.0,0.0,0.625,0.0,0.0,0.365853658537,0.0,0.0195712031954,1.0,0.191371872963,1.0,0.152173913043,0.349018860735
5.0,0.0,2.0,13.0,0.0,0.75,1.0,0.0,0.0,0.00296485944491,0.0216377828068,0.0,0.282267305655,0.75,0.217391304348,0.245589021565
6.0,0.0,2.0,21.0,0.0,0.375,1.0,1.0,0.548780487805,0.0074189643811,0.0217899326995,1.0,0.282770865588,1.0,0.291925465839,0.28729281768
4.0,0.0,2.0,28.0,0.0,0.375,1.0,0.0,0.243902439024,0.00715067093499,0.0348157361396,1.0,0.285105957668,0.75,0.321739130435,0.276541735105
6.0,0.0,3.0,14.0,0.0,0.125,1.0,0.0,0.160975609756,0.0025701644676,0.0183672987042,1.0,0.330572135756,0.5,0.298913043478,0.225138121547
0.0,0.0,3.0,17.0,0.0,0.375,1.0,0.0,0.0975609756098,0.00123303454449,0.0117303135765,1.0,0.129265299055,1.0,0.355498721228,0.259540023127
0.0,0.0,3.0,21.0,0.0,0.5,0.0,0.0,0.00696864111498,0.00432708378965,0.00953669619064,0.0,0.153855703023,0.75,0.36231884058,0.105693009849
0.0,0.0,3.0,21.0,0.0,0.5,0.0,0.0,0.0,0.000481750933838,0.00522775214044,0.0,0.0755912850391,0.25,0.327231121281,0.177697598376
1.0,0.0,3.0,28.0,0.3,0.5,0.0,0.0,0.353658536585,0.0,0.00324537198433,1.0,0.143663548118,0.5,0.308695652174,0.208882277943
8.0,0.0,4.0,4.0,0.3,0.0,1.0,1.0,0.414634146341,0.00166273778901,0.0226570393699,1.0,0.405448505745,0.5,0.341614906832,0.267403314917
0.0,0.0,4.0,4.0,0.3,0.375,0.0,0.0,0.0,0.00106171090049,0.00442859590761,0.0,0.15321399833,0.5,0.335968379447,0.24367548706
3.0,0.0,4.0,11.0,0.0,0.5,0.0,1.0,0.246341463415,0.00043435035964,0.0103225577726,1.0,0.208927079938,0.5,0.319470699433,0.267403314917
1.0,0.0,4.0,18.0,0.0,0.5,0.0,0.0,0.243902439024,0.000911763986035,0.0100729137738,1.0,0.156229628422,0.5,0.358695652174,0.288871349645
0.0,0.0,4.0,18.0,0.0,0.5,0.0,0.0,0.0362369337979,0.000767393609721,0.0154941769429,0.0,0.155810101247,0.75,0.353043478261,0.267403314917
6.0,0.0,4.0,25.0,0.3,0.125,1.0,0.0,0.00696864111498,0.00545230526342,0.0412518243215,0.0,0.408734695852,0.5,0.347826086957,0.221984002639
1.0,0.0,4.0,25.0,0.3,0.625,0.0,0.0,0.0696864111498,0.000549598814552,0.00303561193801,0.0,0.170617055085,0.5,0.36231884058,0.252702378093
4.0,0.0,4.0,29.0,0.3,0.375,0.0,0.0,0.0,0.0112912505046,0.00916444596758,0.0,0.295373232766,0.75,0.375776397516,0.201657458564
7.0,0.0,5.0,4.0,0.0,0.125,1.0,1.0,0.487804878049,0.00412601860891,0.0868155470601,1.0,0.442214110373,0.75,0.406296851574,0.244861878453
4.0,0.0,5.0,16.0,0.0,0.125,1.0,0.0,0.01393728223,0.0,0.0250249643999,0.0,0.277632771757,1.0,0.417391304348,0.176370590735
8.0,0.0,5.0,23.0,0.3,0.25,1.0,1.0,0.487804878049,0.00471434338277,0.0464766220951,1.0,0.38623046875,0.75,0.444600280505,0.217311233886
4.0,0.0,5.0,29.0,0.3,0.375,0.0,1.0,0.0348432055749,0.00187929335348,0.0182963938998,0.0,0.288501008393,0.75,0.470108695652,0.202223257672
5.0,0.0,6.0,6.0,0.0,0.5,0.0,0.0,0.434146341463,0.00101400051862,0.027330847726,1.0,0.28980542597,0.75,0.470355731225,0.227624309392
6.0,0.0,6.0,13.0,0.0,0.625,1.0,0.0,0.390243902439,0.00582128620374,0.0600283028344,1.0,0.304518797873,0.5,0.493606138107,0.263561024611
4.0,0.0,6.0,20.0,0.0,0.5,1.0,0.0,0.439024390244,0.00123179531379,0.0154853138424,1.0,0.208583946178,0.5,0.500621118012,0.278550179103
9.0,0.0,6.0,27.0,0.0,0.375,1.0,1.0,0.40243902439,0.0183908031733,0.201634060305,1.0,0.571905302722,1.0,0.5,0.310567767721
7.0,0.0,6.0,27.0,0.0,0.375,0.0,0.0,0.0104529616725,0.00571502217139,0.0400937125165,0.0,0.358378065922,1.0,0.499412455934,0.288318049781
3.0,0.0,7.0,10.0,0.0,0.25,0.0,1.0,0.0104529616725,0.00179409624299,0.0487455758356,0.0,0.171494942756,0.75,0.478260869565,0.301215469613
7.0,0.0,7.0,17.0,0.0,0.375,1.0,1.0,0.00696864111498,0.0147028526161,0.111434286018,0.0,0.306752032065,0.75,0.491638795987,0.28053424878
6.0,0.0,7.0,18.0,0.0,0.375,0.0,0.0,0.01393728223,0.00176032720647,0.107844730296,0.0,0.248519877567,0.5,0.497826086957,0.283504340963
7.0,0.0,7.0,24.0,0.0,0.375,0.0,0.0,0.0177700348432,0.0378417682087,0.297863697331,0.0,0.361718368033,0.75,0.503711558855,0.264272559853
3.0,0.0,7.0,30.0,0.0,0.5,0.0,0.0,0.00696864111498,0.000574693236186,0.0213113252699,0.0,0.181429906494,0.75,0.521739130435,0.236664992466
5.0,0.0,7.0,31.0,0.0,0.5,1.0,0.0,0.0,0.00344258287897,0.0207086344326,0.0,0.262633561155,0.75,0.520728008089,0.204566567252
2.0,0.0,8.0,1.0,0.0,0.5,0.0,0.0,0.0682926829268,0.00252803062387,0.0152430557607,1.0,0.155004150709,0.25,0.50790513834,0.188702610021
0.0,0.0,8.0,7.0,0.0,0.375,0.0,0.0,0.0104529616725,0.0998553507968,0.00564874941651,0.0,0.108368516745,0.5,0.51884057971,0.0883977900552
5.0,0.0,8.0,14.0,0.0,0.375,0.0,1.0,0.353658536585,0.00466973107764,0.0246083986741,1.0,0.278783129278,0.5,0.517958412098,0.103885517616
0.0,0.0,8.0,15.0,0.0,0.625,0.0,0.0,0.243902439024,0.000296485944491,0.00329559622077,1.0,0.107175506234,1.0,0.517113783534,0.118629834254
0.0,0.0,8.0,16.0,0.0,0.625,0.0,0.0,0.016724738676,0.000787221300889,0.00191147535172,0.0,0.134908226043,0.5,0.510869565217,0.0970113542437
0.0,0.0,8.0,21.0,0.0,0.625,0.0,0.0,0.0,0.00143131145616,0.00324832635118,0.0,0.138818295714,0.5,0.520851818988,0.089168701015
3.0,0.0,8.0,22.0,0.0,0.75,0.0,1.0,0.0696864111498,0.0,0.0136344030111,0.0,0.172198398794,0.75,0.525217391304,0.0266197890507
8.0,0.0,8.0,29.0,0.0,0.25,0.0,1.0,0.414634146341,0.00480759549279,0.0591286981287,1.0,0.399806215368,0.5,0.514066496164,0.0419889502762
6.0,0.0,9.0,1.0,0.3,0.25,0.0,1.0,0.243902439024,0.0227141692709,0.104334942478,1.0,0.356438946382,0.5,0.528428093645,0.0689406677877
3.0,0.0,9.0,5.0,0.3,0.5,0.0,0.0,0.0278745644599,0.0,0.0327979035813,0.0,0.225532462109,0.25,0.517637407711,0.0500394632991
0.0,0.0,9.0,8.0,0.1,0.5,1.0,0.0,0.209756097561,0.000533488815478,0.0114289681578,1.0,0.094098863266,0.5,0.526570048309,0.0522350577599
0.0,0.0,9.0,12.0,0.0,0.5,0.0,0.0,0.121951219512,0.000340788441943,0.00360432755656,1.0,0.1576581853,0.25,0.516205533597,0.0691941322157
0.0,0.0,9.0,19.0,0.0,0.375,0.0,0.0,0.121951219512,0.000390667477537,0.00320844239871,1.0,0.146269836824,0.75,0.515527950311,0.0595042556369
0.0,0.0,9.0,19.0,0.0,0.375,0.0,0.0,0.0,0.00179006874322,0.0173450877742,0.0,0.144939954775,0.75,0.524027459954,0.0166111741246
5.0,0.0,9.0,25.0,0.7,0.25,0.0,0.0,0.0104529616725,0.0337842170959,0.0197425564727,0.0,0.252620930777,1.0,0.532233883058,0.0
9.0,0.0,9.0,30.0,0.7,0.25,0.0,0.0,0.0121951219512,0.00543929334109,0.0520367405061,0.0,0.514933002974,1.0,0.535740604274,0.005631794689
3.0,0.0,10.0,1.0,0.7,0.25,0.0,1.0,0.0445993031359,0.00108525628375,0.0131100028953,0.0,0.15500797038,0.5,0.547826086957,0.011120104163
7.0,0.0,10.0,10.0,0.0,0.25,0.0,0.0,0.414634146341,0.00559140890926,0.0311094829267,1.0,0.373440937704,0.75,0.550962223806,0.0349447513812
0.0,0.0,10.0,21.0,0.0,0.5,1.0,0.0,0.243902439024,0.0,0.00256439042549,1.0,0.11734665295,0.5,0.553997194951,0.0503376304481
4.0,0.0,10.0,24.0,0.0,0.5,0.0,0.0,0.0975609756098,0.00483764683722,0.0357227267624,1.0,0.223142621415,1.0,0.561076604555,0.0653550734402
2.0,0.0,10.0,28.0,0.0,0.5,1.0,0.0,0.0829268292683,0.0,0.00791031723991,1.0,0.162167306674,0.5,0.559782608696,0.056836603037
5.0,0.0,10.0,31.0,0.0,0.125,1.0,1.0,0.30487804878,0.00609732484171,0.0330416388464,1.0,0.30581621272,0.25,0.558528428094,0.078453038674
1.0,0.0,10.0,31.0,0.0,0.5,0.0,0.0,0.0529616724739,0.00201436949956,0.0133404435096,0.0,0.142407513038,0.5,0.561264822134,0.085489968014
3.0,0.0,11.0,11.0,0.0,0.5,0.0,1.0,0.0,0.000576242274558,0.00943624771775,0.0,0.177275377893,1.0,0.567813108371,0.0700028742056
8.0,0.0,11.0,12.0,0.0,0.125,0.0,0.0,0.40243902439,0.000942125138135,0.017841421405,1.0,0.345192562337,0.5,0.574168797954,0.0906579608237
4.0,0.0,11.0,14.0,0.0,0.5,0.0,0.0,0.19512195122,0.00100563571141,0.00812894038679,1.0,0.179435401728,0.25,0.584120982987,0.101175962221
2.0,0.0,11.0,21.0,0.0,0.625,1.0,0.0,0.0452961672474,0.0167500617292,0.0279630822318,0.0,0.15924334868,0.5,0.582608695652,0.0741910023678
